Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-90.106,38.861,53.75
2005-05-22,-89.607,40.687,53.38
2005-05-22,-89.586,40.745,54.25
2005-05-22,-89.788,38.176,47.38
2005-05-22,-90.517,41.515,47.25
2005-05-22,-90.16,38.612,52
2005-05-22,-89.605,39.844,56.13
2005-05-22,-88.191,41.222,57.75
2005-05-22,-89.077,42.287,48.87
2005-05-22,-89.038,42.335,45.75
2005-05-22,-85.017,41.222,51.75
2005-05-22,-85.102,41.095,52.75
2005-05-22,-86.395,39.997,66.63
2005-05-22,-86.553,40.541,63.13
2005-05-22,-85.69,38.377,59.38
2005-05-22,-85.246,40.3,70.63
2005-05-22,-85.831,41.718,64.38
2005-05-22,-85.834,38.308,58.63
2005-05-22,-86.99,38.986,63.75
2005-05-22,-86.001,40.056,65.63
2005-05-22,-85.841,39.935,63.25
2005-05-22,-86.397,39.759,64
2005-05-22,-85.38,40.961,62.75
2005-05-22,-86.081,38.921,64.25
2005-05-22,-86.152,39.417,62.25
2005-05-22,-87.305,41.607,48.88
2005-05-22,-87.495,41.681,63.25
2005-05-22,-87.494,41.639,61
2005-05-22,-86.908,41.717,65.75
2005-05-22,-85.657,40.002,64.38
2005-05-22,-86.249,39.646,61.62
2005-05-22,-86.021,39.859,63.75
2005-05-22,-86.186,39.749,64.13
2005-05-22,-86.061,39.789,61.62
2005-05-22,-86.478,39.576,62.75
2005-05-22,-86.604,38.113,64.13
2005-05-22,-87.199,41.618,63.63
2005-05-22,-87.039,41.51,62.38
2005-05-22,-87.718,38.005,57.13
2005-05-22,-86.371,41.552,64.38
2005-05-22,-86.111,41.743,65
2005-05-22,-86.237,41.694,64.88
2005-05-22,-85.874,39.611,63.5
2005-05-22,-87.569,38.022,60.5
2005-05-22,-87.537,38.114,44.5
2005-05-22,-87.401,39.486,49.13
2005-05-22,-87.313,39.561,59.87
2005-05-22,-87.278,38.052,60.25
2005-05-22,-87.341,38.194,57.5
2005-05-22,-87.322,37.954,60.62
2005-05-22,-92.513,42.743,50.13
2005-05-22,-90.177,41.875,46
